index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
34,46,38,-0.4722727272727274,0.22499999999999998,0.024830000515904827,0.8442200175407641
35,47,38,-0.4495454545454547,0.21499999999999997,0.024830000515904827,0.8690500180566689
36,47,37,-0.426818181818182,0.20500000000000002,0.024830000515904803,0.8938800185725737
37,48,37,-0.40409090909090917,0.195,0.024830000515904928,0.9187100190884786
38,48,37,-0.38136363636363646,0.185,0.024830000515904827,0.9435400196043834
39,49,37,-0.35863636363636375,0.175,0.024830000515904827,0.9683700201202882
40,49,37,-0.33590909090909093,0.16499999999999998,0.024830000515904928,0.9932000206361931
41,50,36,-0.31318181818181823,0.15499999999999997,0.024830000515904827,1.0180300211520978
42,50,36,-0.2904545454545455,0.14499999999999996,0.024830000515904827,1.0428600216680026
43,51,36,-0.2677272727272728,0.13499999999999995,0.024830000515904827,1.0676900221839074
44,51,36,-0.2450000000000001,0.125,0.024830000515904803,1.0925200226998122
45,51,36,-0.2222727272727274,0.11499999999999999,0.024830000515904827,1.117350023215717
46,52,35,-0.1995454545454547,0.10500000000000004,0.024830000515904803,1.1421800237316218
47,52,35,-0.17681818181818199,0.09500000000000003,0.024830000515904827,1.1670100242475265
48,53,35,-0.15409090909090928,0.08500000000000002,0.024830000515904827,1.1918400247634313
49,53,35,-0.13136363636363657,0.07500000000000001,0.024830000515904827,1.216670025279336
50,54,35,-0.10863636363636386,0.065,0.024830000515904827,1.2415000257952409
51,54,34,-0.08590909090909093,0.05500000000000005,0.024830000515905008,1.2663300263111459
52,55,34,-0.06318181818181823,0.04500000000000004,0.024830000515904827,1.2911600268270507
53,55,34,-0.04045454545454552,0.03500000000000003,0.024830000515904827,1.3159900273429554
54,56,34,-0.017727272727272814,0.025000000000000022,0.024830000515904827,1.3408200278588602
55,56,34,0.004999999999999893,0.015000000000000013,0.024830000515904827,1.365650028374765
56,56,33,0.02795081967213115,0.005163934426229507,0.024969747888078493,1.3906197762628436
57,57,33,0.0509016393442623,-0.004672131147540986,0.02496974788807839,1.415589524150922
58,57,33,0.07385245901639345,-0.014508196721311473,0.024969747888078393,1.4405592720390004
59,58,33,0.0968032786885246,-0.02434426229508197,0.024969747888078396,1.4655290199270787
60,58,33,0.11975409836065574,-0.03418032786885245,0.024969747888078375,1.490498767815157
61,59,32,0.1427049180327869,-0.044016393442622946,0.024969747888078396,1.5154685157032355
62,59,32,0.16565573770491807,-0.05385245901639345,0.02496974788807841,1.5404382635913139
63,60,32,0.1886065573770492,-0.06368852459016394,0.024969747888078382,1.5654080114793922
64,60,32,0.21155737704918035,-0.07352459016393442,0.024969747888078375,1.5903777593674706
65,61,32,0.23450819672131148,-0.0833606557377049,0.024969747888078375,1.615347507255549
66,61,31,0.25745901639344265,-0.09319672131147541,0.024969747888078413,1.6403172551436274
67,62,31,0.2804098360655738,-0.10303278688524589,0.024969747888078375,1.6652870030317057
68,62,31,0.30336065573770493,-0.11286885245901639,0.024969747888078382,1.6902567509197841
69,62,31,0.3263114754098361,-0.1227049180327869,0.024969747888078438,1.7152264988078625
70,63,31,0.34926229508196727,-0.13254098360655736,0.02496974788807837,1.7401962466959409
71,63,30,0.3722131147540984,-0.1423770491803279,0.0249697478880784,1.7651659945840192
72,64,30,0.3951639344262295,-0.15221311475409832,0.024969747888078302,1.7901357424720976
73,64,30,0.4181147540983607,-0.16204918032786886,0.024969747888078448,1.815105490360176
74,65,30,0.4410655737704919,-0.17188524590163934,0.024969747888078427,1.8400752382482544
75,65,30,0.46401639344262297,-0.18172131147540982,0.024969747888078327,1.8650449861363327
76,66,29,0.48696721311475416,-0.1915573770491803,0.024969747888078427,1.8900147340244111
77,66,29,0.5099180327868853,-0.20139344262295084,0.0249697478880784,1.9149844819124895
