leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
1,14,57,41,0.05500000000000016,0.38500000000000023,0.07071067811865477,0.865685424949238
1,15,57,42,0.05500000000000016,0.43500000000000005,0.05,0.915685424949238
1,16,58,43,0.10500000000000043,0.4850000000000003,0.07071067811865477,0.9863961030678927
2,0,58,43,0.10500000000000043,0.4850000000000003,0.0,0.0
2,1,57,42,0.05500000000000016,0.43500000000000005,0.07071067811865477,0.07071067811865477
2,2,56,41,0.0050000000000003375,0.38500000000000023,0.07071067811865477,0.14142135623730953
2,3,55,40,-0.044999999999999485,0.33499999999999996,0.07071067811865477,0.21213203435596428
2,4,55,39,-0.044999999999999485,0.28500000000000014,0.05,0.26213203435596427
2,5,54,38,-0.09499999999999975,0.2350000000000001,0.07071067811865477,0.33284271247461905
2,6,53,37,-0.14499999999999957,0.18500000000000005,0.07071067811865477,0.40355339059327383
2,7,52,36,-0.19499999999999984,0.13500000000000023,0.07071067811865477,0.4742640687119286
2,8,51,35,-0.24499999999999966,0.08500000000000019,0.07071067811865477,0.5449747468305833
2,9,51,34,-0.24499999999999966,0.03500000000000014,0.05,0.5949747468305834
2,10,50,33,-0.2949999999999995,-0.014999999999999902,0.07071067811865477,0.6656854249492381
2,11,50,32,-0.2949999999999995,-0.06499999999999995,0.05,0.7156854249492381
2,12,50,31,-0.2949999999999995,-0.11499999999999977,0.05,0.7656854249492382
2,13,49,30,-0.34499999999999975,-0.1649999999999998,0.07071067811865477,0.8363961030678929
2,14,49,29,-0.34499999999999975,-0.21499999999999986,0.05,0.886396103067893
2,15,49,28,-0.34499999999999975,-0.2649999999999999,0.05,0.936396103067893
2,16,50,27,-0.2949999999999995,-0.31499999999999995,0.07071067811865477,1.0071067811865477
2,17,50,26,-0.2949999999999995,-0.36499999999999977,0.05,1.0571067811865478
2,18,50,25,-0.2949999999999995,-0.4149999999999998,0.05,1.1071067811865478
2,19,51,24,-0.24499999999999966,-0.46499999999999986,0.07071067811865477,1.1778174593052027
2,20,51,23,-0.24499999999999966,-0.5149999999999999,0.05,1.2278174593052027
2,21,52,22,-0.19499999999999984,-0.565,0.07071067811865477,1.2985281374238575
2,22,53,21,-0.14499999999999957,-0.615,0.07071067811865477,1.3692388155425124
2,23,54,21,-0.09499999999999975,-0.615,0.05,1.4192388155425124
2,24,55,20,-0.044999999999999485,-0.6649999999999998,0.07071067811865477,1.4899494936611672
2,25,56,20,0.0050000000000003375,-0.6649999999999998,0.05,1.5399494936611673
2,26,57,20,0.05500000000000016,-0.6649999999999998,0.05,1.5899494936611673
2,27,58,19,0.10500000000000043,-0.7149999999999999,0.07071067811865477,1.6606601717798222
2,28,59,19,0.15500000000000025,-0.7149999999999999,0.05,1.7106601717798222
2,29,60,19,0.20500000000000052,-0.7149999999999999,0.05,1.7606601717798223
2,30,61,20,0.25500000000000034,-0.6649999999999998,0.07071067811865477,1.831370849898477
2,31,62,20,0.30500000000000016,-0.6649999999999998,0.05,1.8813708498984771
2,32,63,20,0.3550000000000004,-0.6649999999999998,0.05,1.9313708498984772
2,33,64,21,0.40500000000000025,-0.615,0.07071067811865477,2.002081528017132
2,34,65,21,0.4550000000000005,-0.615,0.05,2.0520815280171316
2,35,66,22,0.5050000000000003,-0.565,0.07071067811865477,2.1227922061357862
2,36,67,23,0.5550000000000002,-0.5149999999999999,0.07071067811865477,2.193502884254441
2,37,68,24,0.6050000000000004,-0.46499999999999986,0.07071067811865477,2.2642135623730955
2,38,69,25,0.6550000000000002,-0.4149999999999998,0.07071067811865477,2.33492424049175
2,39,70,26,0.7050000000000005,-0.36499999999999977,0.07071067811865477,2.4056349186104047
2,40,71,27,0.7550000000000003,-0.31499999999999995,0.07071067811865477,2.4763455967290593
2,41,71,28,0.7550000000000003,-0.2649999999999999,0.05,2.526345596729059
2,42,71,29,0.7550000000000003,-0.21499999999999986,0.05,2.576345596729059
2,43,72,30,0.8050000000000002,-0.1649999999999998,0.07071067811865477,2.6470562748477136
2,44,72,31,0.8050000000000002,-0.11499999999999977,0.05,2.6970562748477134
2,45,73,32,0.8550000000000004,-0.06499999999999995,0.07071067811865477,2.767766952966368
